"sku","nombre","descripcion","precio1","precio2","precio3","precio4","precio5","cantidad2","cantidad3","cantidad4","cantidad5","unidad_medida","CATEGORIA","ACTIVO"
"4879","CINTA TRANSPARENTE ROM FILM 48X150","-",35.00,35.00,35.00,35.00,"",1.00,1.00,1.00,"","PZ","PAPELERIA",1
"0256","CIRIO 4 EN 1 NO_4 PROFINA","-",81.00,75.00,75.00,75.00,"",20.00,20.00,20.00,"","PQ","VELADORAS Y CIRIOS",1
"4910","CIRIO CON CERA DECORADO 5X12 SANTA ANA","-",47.00,45.00,45.00,45.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"1595","CIRIO CON CERA DECORADO 5X22 SANTA ANA","-",65.00,62.00,62.00,62.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"5558","CIRIO CON CERA DECORADO 8X11 SANTA ANA","-",85.00,82.00,82.00,82.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"4909","CIRIO CON CERA DECORADO 8X15 SANTA ANA","-",163.00,160.00,160.00,160.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"1823","CIRIO CON CERA DECORADO 8X22 SANTA ANA","-",215.00,210.00,210.00,210.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"4459","CIRIO CON CERA ESTAMPADO 5X22 SAGRADO CORAZON","-",95.00,93.00,93.00,93.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"4457","CIRIO CON CERA ESTAMPADO 5X22 SAN JOSE","-",95.00,93.00,93.00,93.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"4456","CIRIO CON CERA ESTAMPADO 5X22 SAN JUDAS","-",95.00,93.00,93.00,93.00,"",12.00,12.00,12.00,"","PZ","VELADORAS Y CIRIOS",1
"0253","CIRIO CORTO NO_1 PROFINA","-",40.00,36.00,36.00,36.00,"",30.00,30.00,30.00,"","PZ","VELADORAS Y CIRIOS",1
"5234","CIRIO INMACULADA NO_2","-",40.50,37.00,37.00,37.00,"",30.00,30.00,30.00,"","PZ","VELADORAS Y CIRIOS",1
